U1/V,IA/nA
25.71,1.33
25.73,1.34
25.76,1.35
25.78,1.35
25.81,1.36
25.83,1.36
25.86,1.37
25.88,1.37
25.9,1.38
25.93,1.39
25.95,1.39
25.98,1.39
26,1.41
26.03,1.41
26.05,1.42
26.08,1.42
26.1,1.43
26.12,1.44
26.15,1.44
26.17,1.44
26.2,1.45
26.22,1.46
26.25,1.46
26.27,1.46
26.3,1.47
26.32,1.48
26.34,1.48
26.37,1.48
26.39,1.5
26.42,1.51
26.44,1.51
26.47,1.51
26.49,1.51
26.52,1.53
26.54,1.53
26.56,1.52
26.59,1.53
26.61,1.54
26.64,1.54
26.66,1.54
26.69,1.55
26.71,1.57
26.73,1.56
26.76,1.56
26.78,1.57
26.81,1.57
26.83,1.58
26.86,1.58
26.88,1.59
26.91,1.6
26.93,1.61
26.95,1.61
26.98,1.61
27,1.61
27.03,1.62
27.05,1.61
27.08,1.62
27.1,1.63
27.13,1.64
27.15,1.66
27.17,1.66
27.2,1.66
27.22,1.68
27.25,1.68
27.27,1.68
27.3,1.68
27.32,1.69
27.35,1.69
27.37,1.69
27.39,1.7
27.42,1.72
27.44,1.71
27.47,1.73
27.49,1.72
27.52,1.73
27.54,1.73
27.57,1.74
27.59,1.74
27.61,1.75
27.64,1.76
27.66,1.76
27.69,1.76
27.71,1.77
27.74,1.77
27.76,1.77
27.78,1.77
27.81,1.75
27.83,1.76
27.86,1.77
27.88,1.76
27.91,1.77
27.93,1.78
27.96,1.78
27.98,1.78
28,1.78
28.03,1.79
28.05,1.79
28.08,1.79
28.1,1.8
28.13,1.81
28.15,1.81
28.18,1.81
28.2,1.81
28.22,1.82
28.25,1.82
28.27,1.81
28.3,1.83
28.32,1.84
28.35,1.84
28.37,1.84
28.4,1.84
28.42,1.86
28.44,1.85
28.47,1.85
28.49,1.86
28.52,1.86
28.54,1.86
28.57,1.86
28.59,1.87
28.62,1.88
28.64,1.87
28.66,1.87
28.69,1.88
28.71,1.89
28.74,1.88
28.76,1.88
28.79,1.89
28.81,1.9
28.84,1.9
28.86,1.9
28.88,1.91
28.91,1.91
28.93,1.91
28.96,1.91
28.98,1.91
29.01,1.92
29.03,1.92
29.05,1.92
29.08,1.93
29.1,1.93
29.13,1.93
29.15,1.93
29.18,1.94
29.2,1.95
29.23,1.94
29.25,1.95
29.27,1.96
29.3,1.96
29.32,1.96
29.35,1.96
29.37,1.97
29.4,1.97
29.42,1.97
29.45,1.97
29.47,1.97
29.49,1.98
29.52,1.98
29.54,1.98
29.57,1.99
29.59,1.99
29.62,1.99
29.64,2
29.67,2.01
29.69,2
29.71,2
29.74,2.01
29.76,2.01
29.79,2.01
29.81,2.01
29.84,2.02
29.86,2.02
29.89,2.02
29.91,2.02
29.93,2.03
29.96,2.04
29.98,2.03
30.01,2.03
30.03,2.04
30.06,2.05
30.08,2.05
30.1,2.05
30.13,2.05
30.15,2.06
30.18,2.05
30.2,2.05
30.23,2.06
30.25,2.07
30.28,2.06
30.3,2.06
30.32,2.07
30.35,2.08
30.37,2.07
30.4,2.07
30.42,2.08
30.45,2.08
30.47,2.08
30.5,2.08
30.52,2.09
30.54,2.09
30.57,2.09
30.59,2.09
30.62,2.1
30.64,2.1
30.67,2.1
30.69,2.09
30.72,2.1
30.74,2.11
30.76,2.11
30.79,2.11
30.81,2.12
30.84,2.12
30.86,2.12
30.89,2.12
30.91,2.12
30.94,2.13
30.96,2.13
30.98,2.13
31.01,2.14
31.03,2.14
31.06,2.14
31.08,2.14
31.11,2.15
31.13,2.15
31.15,2.14
31.18,2.15
31.2,2.16
31.23,2.16
31.25,2.16
31.28,2.17
31.3,2.17
31.33,2.17
31.35,2.17
31.37,2.17
31.4,2.18
31.42,2.17
31.45,2.17
31.47,2.18
31.5,2.18
31.52,2.18
31.55,2.18
31.57,2.19
31.59,2.19
31.62,2.19
31.64,2.18
31.67,2.19
31.69,2.2
31.72,2.19
31.74,2.19
31.77,2.2
31.79,2.21
31.81,2.2
31.84,2.19
31.86,2.2
31.89,2.21
31.91,2.19
31.94,2.19
31.96,2.2
31.99,2.21
32.01,2.2
32.03,2.2
32.06,2.2
32.08,2.21
32.11,2.2
32.13,2.19
32.16,2.2
32.18,2.2
32.2,2.19
32.23,2.19
32.25,2.2
32.28,2.2
32.3,2.19
32.33,2.18
32.35,2.19
32.38,2.18
32.4,2.18
32.42,2.17
32.45,2.17
32.47,2.18
32.5,2.17
32.52,2.16
32.55,2.17
32.57,2.16
32.6,2.15
32.62,2.14
32.64,2.14
32.67,2.14
32.69,2.13
32.72,2.12
32.74,2.12
32.77,2.12
32.79,2.11
32.82,2.1
32.84,2.1
32.86,2.09
32.89,2.08
32.91,2.08
32.94,2.08
32.96,2.07
32.99,2.06
33.01,2.05
33.04,2.05
33.06,2.04
33.08,2.03
33.11,2.02
33.13,2.01
33.16,2
33.18,2
33.21,1.99
33.23,1.98
33.26,1.97
33.28,1.96
33.3,1.96
33.33,1.95
33.35,1.94
33.38,1.93
33.4,1.92
33.43,1.92
33.45,1.9
33.47,1.89
33.5,1.89
33.52,1.88
33.55,1.87
33.57,1.85
33.6,1.85
33.62,1.84
33.65,1.83
33.67,1.82
33.69,1.82
33.72,1.81
33.74,1.79
33.77,1.78
33.79,1.77
33.82,1.77
33.84,1.75
33.87,1.73
33.89,1.73
33.91,1.72
33.94,1.7
33.96,1.71
33.99,1.71
34.01,1.7
34.04,1.68
34.06,1.66
34.09,1.66
34.11,1.65
34.13,1.63
34.16,1.62
34.18,1.61
34.21,1.61
34.23,1.59
34.26,1.57
34.28,1.57
34.31,1.55
34.33,1.54
34.35,1.52
34.38,1.52
34.4,1.51
34.43,1.49
34.45,1.48
34.48,1.48
34.5,1.47
34.52,1.45
34.55,1.44
34.57,1.43
34.6,1.42
34.62,1.38
34.65,1.37
34.67,1.37
34.7,1.35
34.72,1.34
34.74,1.33
34.77,1.32
34.79,1.3
34.82,1.29
34.84,1.28
34.87,1.28
34.89,1.26
34.92,1.25
34.94,1.24
34.96,1.23
34.99,1.22
35.01,1.2
35.04,1.19
35.06,1.18
35.09,1.16
35.11,1.15
35.14,1.14
35.16,1.13
35.18,1.12
35.21,1.1
35.23,1.1
35.26,1.09
35.28,1.07
35.31,1.05
35.33,1.05
35.36,1.04
35.38,1.02
35.4,1.01
35.43,1
35.45,0.99
35.48,0.98
35.5,0.96
35.53,0.96
35.55,0.95
35.57,0.93
35.6,0.92
35.62,0.92
35.65,0.91
35.67,0.89
35.7,0.88
35.72,0.88
35.75,0.87
35.77,0.85
35.79,0.83
35.82,0.83
35.84,0.82
35.87,0.81
